יצרן,דגם,שנת יצור,סוג מנוע,נפח מנוע,צריכה - נתוני יצרן,צריכה - מבחן כביש
אאודי,A3,2019,בנזין,2.0,"16.9 ק""מ לליטר","13.5 ק""מ לליטר"
אאודי,Q-5,2019,בנזין,2.0,"13.7 ק""מ לליטר","10 ק""מ לליטר"
אופל,אינסיגניה,2019,בנזין,1.5,"16.4 ק""מ לליטר","11.5 ק""מ לליטר"
אופל,גרנדלנד,2020,בנזין,1.2,"18.9 ק""מ לליטר","12.5 ק""מ לליטר"
אופל,מוקה e,2022,חשמלי,"50 קוט""ש","טווח נסיעה: 338 ק""מצריכת חשמל: 157 וואט-שעה לק""מ","טווח נסיעה: 270 ק""מצריכת חשמל: 185 וואט-שעה לק""מ"
אופל,קומבו,2020,בנזין,1.2 בנזין,"19.2 ק""מ לליטר","12.5 ק""מ לליטר"
אופל,קומבו,2020,בנזין,1.5 דיזל,"23.3 ק""מ לליטר","15.5 ק""מ לליטר"
אופל,קורסה,2020,בנזין,1.2,"22.5 ק""מ לליטר","15.5 ק""מ לליטר"
אופל,קורסה,2021,חשמלי,סוללה 50 KWH,"טווח נסיעה: 335 ק""מצריכת חשמל: 166 וואט-שעה לק""מ","טווח נסיעה: 256 ק""מצריכת חשמל: 195 וואט-שעה לק""מ"
אופל,קרוסלנד,2020,בנזין,1.2,"20 ק""מ לליטר","13.5 ק""מ לליטר"
אופל,קרוסלנד,2022,בנזין,1.2,"16.4 ק""מ לליטר","12.5 ק""מ לליטר"
אייוויז,U5,2021,חשמלי,63 HWh,"טווח נסיעה: 410 ק""מצריכת חשמל: 166 וואט-שעה לק""מ","טווח נסיעה: 350 ק""מצריכת חשמל: 185 וואט-שעה לק""מ"
אם ג'י MG,ZS EV,2020,בנזין,חשמלי,"263 ק""מ לליטר","? ק""מ לליטר"
אם ג'י MG,ZS EV,2021,חשמלי,45.6 KWH,"טווח נסיעה: 263 ק""מצריכת חשמל: 186 וואט-שעה לק""מ","טווח נסיעה: 245 ק""מצריכת חשמל: 180 וואט-שעה לק""מ"
ג'ילי,גיאומטרי C 350,2021,חשמלי,"סוללה 53 קוט""ש","טווח נסיעה: 350 ק""מצריכת חשמל: 165 וואט-שעה לק""מ","טווח נסיעה: 270 ק""מצריכת חשמל: 204 וואט-שעה לק""מ"
ג'ילי,גיאומטרי C 350,2022,חשמלי,"53 קוט""ש","טווח נסיעה: 350 ק""מצריכת חשמל: 165 וואט-שעה לק""מ","טווח נסיעה: 318 ק""מצריכת חשמל: 166 וואט-שעה לק""מ"
ג'ילי,גיאומטרי C 460,2021,חשמלי,"סוללה 70 קוט""ש","טווח נסיעה: ק""מצריכת חשמל: 165 וואט-שעה לק""מ","טווח נסיעה: ק""מצריכת חשמל: 167 וואט-שעה לק""מ"
גנסיס,CV 70,2022,בנזין,2.5,"10.3 ק""מ לליטר","8.5 ק""מ לליטר"
גנסיס,GV 80,2022,דיזל,3.0,"14.9 ק""מ לליטר","11 ק""מ לליטר"
דאצ'יה,דאסטר,2021,בנזין,1.33,"15.6 ק""מ לליטר","13 ק""מ לליטר"
הונדה,CRV,2020,בנזין,1.5,"14 ק""מ לליטר","11 ק""מ לליטר"
הונדה,HRV,2019,בנזין,1.5,"18.8 ק""מ לליטר","14.5 ק""מ לליטר"
הונדה,HRV,2020,בנזין,1.5,"18.8 ק""מ לליטר","14.5 ק""מ לליטר"
הונדה,ג'אז,2020,היברידי בנזין,1.5,"27.7 ק""מ לליטר","22 ק""מ לליטר"
הונדה,סיוויק,2019,בנזין,1.0 טורבו,"21.2 ק""מ לליטר","13.5 ק""מ לליטר"
הונדה,סיוויק,2019,בנזין,1.5 טורבו,"16.6 ק""מ לליטר","12.5 ק""מ לליטר"
הונדה,סיוויק,2020,בנזין,1.5,"16.6 ק""מ לליטר","13 ק""מ לליטר"
הונדה,סיוויק סדאן,2019,בנזין,1.6,"15.8 ק""מ לליטר","13 ק""מ לליטר"
וולוו,XC-40,2021,פלאג אין היברידי,1.5,"47 ק""מ לליטר","21 ק""מ לליטר"
טויוטה,CHR,2019,בנזין,1.8,"25.6 ק""מ לליטר","18.5 ק""מ לליטר"
טויוטה,CHR,2020,בנזין,1.8,"26.9 ק""מ לליטר","18.5 ק""מ לליטר"
טויוטה,CHR,2020,היברידי,1.8,"26.9 ק""מ לליטר","18.5 ק""מ לליטר"
טויוטה,CHR,2021,בנזין - היברידי,1.8,"20.4 ק""מ לליטר","18.5 ק""מ לליטר"
טויוטה,CHR,2022,היברידי,1.8,"20.4 ק""מ לליטר","19.5 ק""מ לליטר"
טויוטה,CHR,2022,היברידי,2022,"ק""מ לליטר","ק""מ לליטר"
טויוטה,אייגו X,2022,בנזין,1.0,"20 ק""מ לליטר","18 ק""מ לליטר"
טויוטה,היילנדר,2021,היברידי,2.5,"14.1 ק""מ לליטר","12.5 ק""מ לליטר"
טויוטה,הילקס,2021,דיזל,2.4,"10.5 ק""מ לליטר","10 ק""מ לליטר"
טויוטה,יאריס,2019-20,בנזין,1.5,"20.4 ק""מ לליטר","15 ק""מ לליטר"
טויוטה,יאריס,2020,היברידי,1.5,"33.3 ק""מ לליטר","24 ק""מ לליטר"
טויוטה,יאריס,2021,בנזין,1.5,"21.3 ק""מ לליטר","17.5 ק""מ לליטר"
טויוטה,יאריס,2021,היברידי,1.5,"25.6 ק""מ לליטר","21 ק""מ לליטר"
טויוטה,יאריס קרוס,2021,היברידי,1.5,"22.7 ק""מ לליטר","21 ק""מ לליטר"
טויוטה,יאריס קרוס,2022,היברידי,1.5,"22.7 ק""מ לליטר","21 ק""מ לליטר"
טויוטה,לנד קרוזר,2021,דיזל,2.8,"10.3 ק""מ לליטר","10 ק""מ לליטר"
